press_name,title,content
연합뉴스,"트럼프 ""푸틴-젤렌스키 회담 조율 시작…이어 나 포함 3자회담""(종합)","(워싱턴=연합뉴스) 조준형 특파원 = 도널드 트럼프 미국 대통령이 우크라이나전쟁의 두 당사국인 러시아와 우크라이나 간의 양자 정상회담 개최를 위한 조율에 착수했다고 18일(현지시간) 밝혔다.트럼프 대통령은 이날 백악관에서 볼로디미르 젤렌스키 우크라이나 대통령 및 유럽 정상들과의 회의를 마친 뒤 사회관계망서비스(SNS) 트루스소셜에 올린 글에서 ""나는 (블라디미르) 푸틴 (러시아) 대통령에게 전화를 걸어 푸틴 대통령과 (볼로디미르) 젤렌스키 (우크라이나) 대통령 간의 회담을 조율하기 시작했다""며 회담 장소는 앞으로 결정될 것이라고 썼다.트럼프 대통령은 이어 ""그 회담이 열린 뒤 우리는 두 대통령에 나를 더한 3자회담을 할 것""이라고 덧붙였다.트럼프 대통령이 거론한 러시아-우크라이나 정상회담이 실현되면 2022년 2월 러시아의 우크라이나 전면 침공 이후 전쟁 두 당사국의 정상간 처음 열리는 회담이 된다.결국 트럼프 대통령은 종전 논의의 최대 쟁점인 영토 재획정과 관련, 전쟁의 두 당사국이 담판을 벌이도록 한 뒤 합의가 도출될 경우 자신이 참여하는 3자회담에서 종전을 공식 선언하겠다는 구상을 하고 있는 것으로 풀이된다.아울러 트럼프 대통령은 이날 젤렌스키 대통령과 영국·독일·프랑스 등의 유럽 정상과 잇달아 회담한 외교 일정에 대해 ""우리는 우크라이나를 위한 안전보장을 논의했다""며 안전보장은 ""미국과의 공조 속에(with a coordination with the United States of America) 다양한 유럽국가들이 제공할 것""이라고 밝혔다.그러면서 ""모두가 러시아-우크라이나를 위한 평화의 가능성에 매우 기뻐한다""며 이날 회의가 ""거의 4년간 지속되어온 전쟁을 (끝내기) 위한 매우 좋은 초기 단계였다""고 평가했다.우크라이나전쟁 출구 모색의 양대 난제 중 하나였던 대(對)우크라이나 안전보장 문제에서 최근 일정한 진전이 이뤄진 가운데, 향후 러시아와 우크라이나 정상간 담판이 성사될 경우 거기서 논의될 영토 재획정 문제가 전쟁 종식 여부를 사실상 결정지을 것으로 예상된다.jhcho@yna.co.kr제보는 카카오톡 okjebo  <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>  2025/08/19 07:49 송고 2025년08월19일 07시49분 송고"
조선일보,"유럽 정상들 만난 트럼프 ""영토 교환 결정, 젤렌스키가 내려야""","도널드 트럼프 미국 대통령이 18일 백악관에서 유럽 정상들을 만나 “푸틴 러시아 대통령은 우크라이나에 대한 (서방의) 안보 보장을 수용하겠다고 동의했다”며 “우리는 또 현재 전선을 고려해 영토 교환 가능성에 대해 논의해야 한다”고 했다. 트럼프는 영토 교환과 관련 “이건 매우 슬픈 장면인데, 결국 이 결정은 젤렌스키 우크라이나 대통령과 우크라이나 국민이 푸틴 대통령과 협력해 내려야 할 것”이라고 했다.지난 15일 알래스카 미·러 회담에서 푸틴이 제안했던 우크라이나 전쟁 종전 조건, 즉 서방의 우크라이나 안보 보장을 러시아가 용인하는 대신 우크라이나 동부 군사 요충지인 돈바스 지역을 러시아 영토로 귀속시키는 제안을 유럽 정상들에게 제시한 것이다.이날 트럼프와 젤렌스키의 양자 회담 이후 이어진 유럽 정상들과의 확대 회담은 키어 스타머 영국 총리, 에마뉘엘 마크롱 프랑스 대통령, 프리드리히 메르츠 독일 총리, 조르자 멜로니 이탈리아 총리가 트럼프 양 옆을 둘러싸고 맞은 편의 젤렌스키 옆으로 알렉산데르 스투브 핀란드 대통령, 우르줄라 폰데어라이엔 유럽연합(EU) 집행위원장, 마르크 뤼터 나토 사무총장이 배석한 형태로 진행됐다. 7명의 유럽 정상들이 젤렌스키를 도와 트럼프를 상대로 사실상 1대 8의 회담을 하는 형국이었다.이들 유럽 정상들 모두 트럼프와 개인적 유대 관계가 있어 회담 분위기는 유쾌하게 진행됐다. 트럼프는 각 정상들을 일일이 소개하며 칭찬했고, 바로 옆자리의 마크롱 프랑스 대통령을 가리켜서는 “내가 (집권 1기 때) 처음 만난 외국 정상 중 한 명이고 처음부터 마음에 들었고 지금은 그때보다 더 좋아한다”며 “이건 꽤 드문 일”이라고 했다. 마크롱은 트럼프의 팔을 툭 쳐보이며 친근감을 과시했다.지난 1월 트럼프의 취임식 때 유럽 정상들 중 유일하게 참석한 멜로니 이탈리아 총리에 대해 트럼프는 “젊은데도 불구하고 (권좌에서) 오래 버텼다”며 “다른 이들은 오래 가지 못한다”고 농담했다. 메르츠 독일 총리에 대해서는 “선탠을 어디서 했느냐. 나도 그런 선탠을 하고 싶다”고 했고, 지난 3월 집권 2기 들어 처음으로 해외 정상 중 골프를 같이 쳤던 골프 국가대표 출신 스투브 핀란드 대통령에 대해서도 “오늘은 어느 때보다 좋아 보인다”고 했다.트럼프는 우크라이나에 대한 안보 보장과 관련 “우리가 함께라면 우크라이나에 대한 미래의 어떠한 공격도 억제할 수 있는 합의에 도달할 수 있다고 생각한다”며 “유럽 국가들이 많은 부담을 떠맡을 것이고, 우리는 그들을 도울 것”이라고 했다. 그러면서 “또한 영토 교환 가능성에 대해 논의해야 한다”며 “좋은 회의가 성사된다면 나는 푸틴 대통령과의 (3자) 회담을 세팅할 것”이라고 했다. 이에 젤렌스키는 “영토 문제 등 모든 민감한 사안들을 유럽의 지도자급 회의에서 논의하게 될 것”이라고 했다.메르츠 독일 총리는 “이제 복잡한 협상을 위한 길이 열렸다. 러시아에 압박을 가하도록 하자”며 “3자 회의에서는 반드시 휴전을 보고 싶다”고 했다. 멜로니 이탈리아 총리는 “3년 반 동안 러시아가 대화 의지가 전혀 보이지 않았는데 이제 무언가가 바뀌고 있다”고 했고, 마크롱 프랑스 대통령은 “3자 회담에 이어 (유럽이 참여하는) 4자 회담도 필요하다. 안보 보장은 유럽 대륙 전체의 안보에 관한 것이기 때문”이라고 했다. 스타머 영국 총리는 “이 회의의 결과 안보 보장과 3자 회담 추진이 성사된다면 오늘은 최근 몇 년 동안 가장 중요한 날 중 하나로 기록될 것”이라고 했다.트럼프는 “나는 푸틴을 오래 알고 지냈는데, 푸틴이 답을 찾고 싶어한다고 생각한다”며 “아마 일주일이나 이주일 안에 우리가 이것을 해결할 수 있을지, 아니면 이 끔찍한 전투가 계속될지를 알게 될 것”이라고 했다."
이데일리,"러 크렘린궁 ""푸틴-트럼프, 우크라 협상 대표 격상 논의""","[이데일리 방성훈 기자] 러시아 크렘린궁(대통령실)은 18일(현지시간) 블라디미르 푸틴 대통령과 도널드 트럼프 미국 대통령이 40분 간 전화통화를 갖고 우크라이나와 러시아 간 협상에 참여할 대표단을 격상시키는 방안을 논의했다고 밝혔다.   블라디미르 푸틴(왼쪽) 러시아 대통령과 도널드 트럼프 미국 대통령. (사진=AFP)  로이터통신 등에 따르면 유리 우샤코프 크렘린궁 외교정책 보좌관은 이날 텔레그램 채널에 올린 오디오 발언에서 트럼프 대통령과 푸틴 대통령의 통화 사실을 확인한 뒤 “우크라이나와 러시아 측 대표들, 즉 직접 협상에 참여하는 대표들의 수준을 높이는 가능성을 모색하는 것이 가치가 있을 것이라는 아이디어가 논의됐다”고 말했다.        우샤코프 보좌관은 “트럼프 대통령은 (푸틴 대통령에게) 백악관에서 방금 종료된 젤렌스키 및 여러 유럽 국가 정상들과의 협상에 대해 알렸다. 두 대통령은 우크라이나 문제와 국제·양자 의제에 관한 기타 긴급한 주제에 대해서도 서로 긴밀한 접촉을 유지하기로 합의했다”며 “두 대통령 간 대화는 솔직하고 매우 건설적이었다”고 평가했다.   다만 그는 대표단의 수준을 높인다는 것이 구체적으로 무엇을 의미하는지 설명하지 않았으며, 3자회담 가능성에 대해서도 직접적으로 언급하지 않았다고 로이터는 부연했다.   앞서 트럼프 대통령은 이날 백악관에서 유럽 지도자들과 회동을 끝마친 뒤 트루스소셜을 통해 푸틴 대통령에게 전화를 걸어 젤렌스키 대통령과의 양자회담을 조율하기 시작했다고 밝혔다.            그는 “이(우크라이나와 러시아의) 회담은 거의 4년 동안 계속돼 온 전쟁을 (끝내기) 위한 매우 좋은 초기 단계”라며 “그 회담이 열린 뒤엔 두 대통령에 나까지 포함해 3자회담을 가질 것”이라고 전했다. 이어 회담을 어디에서 개최할 것인지는 향후 결정될 것이라고 덧붙였다.   로이터는 트럼프 대통령이 이날 백악관에서 젤렌스키 대통령과 만나 미국이 러시아와의 전쟁을 끝내기 위한 어떤 협상에서도 우크라이나의 안보를 보장하는 데 도움을 줄 것이라고 말했지만, 약속된 지원의 정도가 어느 수준인지는 명확하지 않다고 전했다."
TV조선,"푸틴 최측근 ""아부 쏟아낸 유럽, 트럼프 압도 못해""","블라디미르 푸틴 러시아 대통령의 측근으로 꼽히는 드미트리 메드베데프 러시아 국가안보회의 부의장이 19일(현지시간) 우크라이나 전쟁 종전 협의를 위해 단체로 미국 백악관을 찾아간 유럽 정상들을 싸잡아 조롱했다.메드베데프 부의장은 이날 소셜미디어 엑스(X)에 영어로 올린 글에서 ""반러시아 전쟁광들의 '의지의 연합'이 트럼프 대통령의 앞마당에서 그를 압도하는 데 실패했다""며 ""유럽이 감사와 아부를 쏟아냈다""고 했다.메드베데프 부의장의 발언은 트럼프 대통령이 유럽 정상들의 설득에 따라 푸틴 대통령에게 거리를 두지 않도록 견제하려는 의도로 읽힌다.이날 우르줄라 폰데어라이엔 유럽연합(EU) 집행위원장, 키어 스타머 영국 총리, 에마뉘엘 마크롱 프랑스 대통령, 프리드리히 메르츠 독일 총리, 조르자 멜로니 이탈리아 총리 등 유럽 정상들이 백악관을 찾아 트럼프 대통령과 회담했다.이들은 우크라이나의 안보 보장 추진을 위해 영국·프랑스 주도로 '의지의 연합'을 결성한 바 있다. 이들 정상들은 이날 트럼프 대통령이 러시아에 치우친 협상안을 강요하지 않도록 함께 백악관을 방문해 볼로디미르 젤렌스키 우크라이나 대통령을 지원했다.      메드베데프 부의장은 또한 이날 트럼프 대통령과 정상회담을 한 젤렌스키 대통령을 '광대'로 지칭하면서 ""문제는 우크라이나의 광대가 집으로 돌아가서, 그 녹색 군복을 다시 입고 나면 (안보) 보장이나 영토에 대해 무슨 노래를 부를지다""라고 덧붙였다.이날 젤렌스키 대통령은 군복 스타일이었던 지난 2월 백악관 방문 때와 달리 검은 정장을 착용했다.한때 러시아 대통령을 지낸 메드베데프 부의장은 서방에 높은 수위의 강경 발언을 자주 쏟아낸다."
연합뉴스,"전 CIA 국장 ""푸틴, 트럼프 전용차에 칩 부착했을 수도""","(서울=연합뉴스) 고일환 기자 = 블라디미르 푸틴 러시아 대통령이 도널드 트럼프 미국 대통령의 전용 리무진 '캐딜락 원'에 스파이 장치를 부착했을 수 있다는 주장이 제기됐다.18일(현지시간) 미국 인터넷매체 더힐에 따르면 존 브레넌 미 중앙정보국(CIA) 전 국장은 트럼프 대통령이 지난 15일 알래스카 정상회담 당시 푸틴 대통령을 캐딜락 원에 태운 것이 '실수'라면서 이같이 지적했다.브레넌 전 국장은 푸틴 대통령이 구(舊) 소련의 정보기관 KGB 출신이라는 점을 언급하면서 대통령 경호를 담당하는 비밀경호국(SS)에 대해 ""차량에 소형 마이크로칩이라도 설치됐는지 여부를 철저히 점검해야 한다""고 당부했다.육중한 외관 때문에 야수라는 뜻의 '비스트'라는 별명으로 불리는 캐딜락 원은 최첨단 기능을 갖춰 '움직이는 백악관'으로도 불린다.철저하게 보안을 유지해야 할 전용 차량을 적성국의 정상에게 공개하고, 동승한 것 자체가 부적절하다는 게 브레넌 전 국장의 비판 취지다.버락 오바마 행정부 시절 CIA를 이끌었던 브레넌 전 국장은 정상회담의 의전에 대해서도 비판했다.그는 ""푸틴은 국제적 파문을 일으킨 전범인데 레드카펫을 깔아줬다""면서 ""트럼프는 푸틴에게 농락당했다는 것을 깨달았을 것""이라고 말했다.그러면서 ""이 상황을 만든 것은 트럼프 본인이다. 트럼프가 푸틴을 미국 영토에 초대한 뒤 준비도 부족한 상태에서 회담을 주도했다""고 덧붙였다.정상회담 당시 트럼프 대통령과 푸틴 대통령은 전용기에서 내린 뒤 레드카펫을 따라 군 의장대를 사열했다.두 정상은 연단에서 사진 촬영 뒤 캐딜락 원에 동승해 회담장으로 이동했다.한편 트럼프 대통령은 지난 2018년 싱가포르에서 열린 북미정상회담 당시 김정은 북한 국무위원장에게 캐딜락 원 내부를 보여주고, 탑승을 권유하기도 했다.koman@yna.co.kr제보는 카카오톡 okjebo  <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>  2025/08/19 11:08 송고 2025년08월19일 11시08분 송고"
연합뉴스,"""트럼프 행정부, 경영난 인텔 지분 10% 취득 논의 중""","(샌프란시스코=연합뉴스) 김태종 특파원 = 미국 도널드 트럼프 행정부가 경영난을 겪고 있는 미 반도체 기업 인텔의 지분을 10% 취득하는 방안을 논의 중이라고 블룸버그 통신이 18일(현지시간) 보도했다.블룸버그 통신은 앞서 지난 14일 트럼프 행정부가 인텔의 지분 인수 방안을 검토하고 있다고 전했는데, 그 규모가 10%라는 것이다.소식통은 연방 정부가 반도체법에 따라 인텔에 제공된 보조금의 일부나 전부를 지분 투자 형태로 전환하는 방안을 검토하고 있다고 말했다. 이번 조치가 실행되면 미 정부는 인텔의 최대주주가 될 수 있다.바이든 행정부 때인 지난해 11월 미 상무부는 최첨단 반도체 역량을 발전시키고 일자리 수만 개를 창출하기 위해 인텔에 최대 78억6천500만 달러(약 10조9천억원)의 직접 자금을 지급한다고 발표한 바 있다.인텔은 이를 포함해 상업용 및 군사용 반도체 생산을 위해 총 109억 달러 규모의 보조금을 받을 예정이었다.지난 15일 기준 인텔의 시가총액은 1천75억 달러로, 보조금이 다 지급되면 10%의 지분을 취득할 수 있다.다른 반도체법 수혜 기업들과 마찬가지로 인텔의 보조금은 프로젝트 단계별 성과에 따라 순차적으로 지급되며, 올해 1월 기준으로 22억 달러를 지급받았다.다만, 구체적인 지분 규모나 행정부가 실제로 계획을 추진할지 여부는 아직 유동적이라고 소식통은 덧붙였다.연방 정부의 인텔 지분 인수는 지난 11일 트럼프 대통령과 립부 탄 인텔 최고경영자(CEO)의 면담에서 비롯된 것으로 알려졌다.트럼프 대통령은 지난 7일 탄 CEO가 중국 정부와 기업에 연루돼 있다며 즉각 사임을 요구했다가 만난 직후에는 ""그의 성공과 부상은 놀라운 이야기""라며 탄 CEO를 치켜세우기도 했다.트럼프 행정부의 인텔 지분 취득 검토는 최근 국방부가 희토류 생산업체 MP머트리얼스에 4억 달러 규모를 투자해 15%의 우선주를 취득하겠다고 밝힌 것과 유사한 형태다.블룸버그 통신은 ""이는 전례 없는 조치로, 이 거래로 국방부는 MP머트리얼스의 의 최대주주가 된다""고 전했다.지난주 연방 정부의 인텔 지분 취득 검토 소식 등으로 5일 연속 상승했던 인텔 주가는 이날 10%라는 구체적인 수치가 보도된 뒤에는 약 4% 하락 중이다.taejong75@yna.co.kr제보는 카카오톡 okjebo  <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>  2025/08/19 03:40 송고 2025년08월19일 03시40분 송고"
노컷뉴스,"트럼프 ""우크라이나 안보 보장 필요하지만 나토 가입 아냐""","'우크라 종전' 논의 다자회담서 발언하는 도널드 트럼프 미국 대통령. 연합뉴스도널드 트럼프 미국 대통령이 19일(현지시간) 우크라이나에 대한 안보 보장과 관련해 북대서양조약기구(NATO·나토) 회원 가입은 안 된다는 입장을 밝혔다.  트럼프 대통령은 이날 폭스뉴스와 전화 인터뷰에서 ""어떤 형태의 안보 보장은 필요할 것이지만 나토 가입은 아니다. 그것은 절대 일어나지 않을 일""이라고 말했다.그는 ""당신이 러시아라면 적이 국경에 있는 걸 원하겠나""라고 언급하는 한편, 우크라이나 전쟁이 나토뿐 아니라 크림반도 문제로 시작됐다며 ""두 가지(나토 가입과 크림반도 반환) 모두 불가능하다""고 강조했다.또 트럼프 대통령은 미군을 우크라이나에 배치하지 않을 것이라는 점을 보장할 수 없다며 ""나는 단지 사람들이 죽는 걸 막으려 노력하고 있다""고 언급했다.트럼프 대통령은 블라디미르 푸틴 러시아 대통과 볼로디미르 젤렌스키 우크라이나 대통령이 평화 협상하는 것을 마련 중이라며 ""푸틴이 잘해주길 바란다. 젤렌스키도 해야 할 일을 할 것이다. 젤렌스키는 어느 정도 유연함을 보여줘야 한다""고 전했다.그러면서 결과가 어떻게 될지 지켜보겠다. 만약 잘 된다면 내가 3자회담에 참여해 일을 마무리하겠다""고 덧붙였다."
뉴시스,"트럼프 ""푸틴·젤렌스키 양자회담 조율…이후 3자회담""","""유럽 정상들과 우크라 안보보장 논의…美 협력""회담 중 푸틴과 통화해 러·우크라 회담 조율   [서울=뉴시스] 왼쪽부터 블라디미르 푸틴 러시아 대통령과 도널드 트럼프 미국 대통령, 볼로디미르 젤렌스키 우크라이나 대통령. [워싱턴=뉴시스] 이윤희 특파원 = 도널드 트럼프 미국 대통령이 우크라이나 전쟁 종식을 위해 러시아와 우크라이나 정상이 먼저 협상한 후 자신이 참여하는 3자회담이 열릴 것이라고 18일(현지 시간) 밝혔다.  트럼프 대통령은 이날 백악관에서 볼로디미르 젤렌스키 우크라이나 대통령 및 7명의 유럽 지도자들과 회담한 뒤 소셜미디어(SNS) 트루스소셜에 ""회의에서 우리는 우크라이나에 대한 안보보장에 대해 논의했다""며 ""이러한 보장은 다양한 유럽 국가들이 미국과의 협력 하에 제공될 것이다""고 적었다.  이어 ""모두가 러시아와 우크라이나간 평화 가능성을 기쁘게 생각하고 있다""고 만족감을 드러냈다.  트럼프 대통령은 이날 회담을 잠시 중단하고 블라디미르 푸틴 러시아 대통령과도 직접 소통한 것으로 전해졌다.   그는 ""회의 말미 저는 푸틴 대통령에게 전화했고, 푸틴 대통령과 젤렌스키 대통령간 회담을 조율하기 시작했다며 ""회담 장소는 추후 결정될 예정""이라고 설명했다.  아울러 ""그 회담이 진행된 이후, 우리는 3자 회담을 개최할 예정이다""며 ""두 대통령에 제가 추가될 것이다""고 부연했다.  러시아와 우크라이나 정상이 먼저 만나 협상을 진행하고 간극을 확인한 뒤, 중재자인 자신이 참여해 합의를 이끌어내겠다는 구상으로 보인다.  [워싱턴=AP/뉴시스]도널드 트럼프 미국 대통령이 18일(현지 시간) 백악관에서 키어 스타머 영국 총리, 에마뉘엘 마크롱 프랑스 대통령, 조르자 멜로니 이탈리아 총리, 프리드리히 메르츠 독일 총리, 알렉산더르 스투브 핀란드 대통령, 우르줄라 폰데어라이엔 유럽연합(EU) 집행위원장, 알렉산더르 스투브 핀란드 대통령, 볼로디미르 젤렌스키 우크라이나 대통령, 마르크 뤼터 나토 사무총장과 회담에 앞서 취재진 앞에서 발언하고 있다. 2025.08.19.트럼프 대통령은 ""이것은 거의 4년동안 진행된 전쟁과 관련해 매우 좋은 초기 단계""라고 강조했다.  푸틴 대통령과 젤렌스키 대통령간 양자회담에서는 평화협정의 최대 쟁점으로 꼽히는 영토교환 문제가 집중 논의될 전망이다.  closeAdvertisements[custom_chain] korean_weather [webstory]-20250820-00:08arrow_forward_ios더보기CANCELNEXT VIDEOPausePlay% buffered00:0000:0100:56UnmuteMutePlayPowered by GliaStudio 러시아는 미점령 지역을 포함해 우크라이나 동부 '돈바스(도네츠크·루한스크)' 지역을 양도받아야 한다고 주장하고 있다. 반면 우크라이나는 러시아군이 점령하지 않은 지역은 내줄 수 없다는 입장이다.  젤렌스키 대통령은 이날 백악관에서 트럼프 대통령과 양자회담을 진행한 후 ""영토 등 모든 민감한 사안들에 대해서는 3자 회담 동안 정상급에서 논의할 것이다""고 말했다.   ◎공감언론 뉴시스 sympathy@newsis.com"
연합뉴스,"빅터차 ""미러회담 '빈손' 트럼프, 한미 정상회담 성공 원할 것""","(워싱턴=연합뉴스) 김동현 특파원 = 도널드 트럼프 미국 대통령이 최근 열린 미·러 정상회담에서 외교 성과를 내지 못한 만큼 오는 25일 예정된 한미 정상회담에서 뚜렷한 성과를 원할 것이라고 미국 전문가가 관측했다.전략국제문제연구소(CSIS)의 빅터 차 한국석좌는 18일(현지시간) CSIS 주최 팟캐스트에서 지난 15일 알래스카에서 열린 미·러 정상회담을 ""트럼프 대통령의 큰 승리는 아니었다""고 평가하고서는 이 회담을 트럼프 대통령과 김정은 북한 국무위원장의 '노딜'로 끝난 2019년 하노이 북미 정상회담에 비유했다.차 석좌는 미·러 정상이 원래 계획했던 오찬도 하지 않고 회담을 종료한 점을 언급하고서 ""트럼프 대통령이 하노이에서 김정은에게 한 것과 다르지 않다. 당시 그는 협상 타결이 없다면서 회담(장)을 일찍 떠났다""고 말했다.이어 ""그런 차원에서 트럼프 대통령은 아마 다음 주 성공을 원할 것이다. 그는 연달아 실패하는 것을 좋아하지 않는다. 그러니 그는 아마 다음 주에 어떤 종류의 성공을 원할 것이며 그게 회담(한미 정상회담)에 좋은 징조일 수 있다""고 전망했다.차 석좌는 미국과의 양자 회담은 미국이 관련된 다른 모든 현안의 맥락을 고려하면서 봐야 한다며 이같이 주장했다.시드 사일러 CSIS 선임고문은 한미 정상회담에서 트럼프 대통령과 이재명 대통령의 분위기가 나쁘지 않을 것으로 예상했다.사일러 선임고문은 ""난 두 정상이 어떤 수준에서 관계를 잘 맺을 수 있을 것이라 생각한다. 또는 최소한 이재명(대통령)이 여느 보수주의자 못지않게 미국 대통령의 파트너가 될 수 있다는 이미지를 보여줄 것이라 생각한다""고 말했다.그는 트럼프 대통령과 볼로디미르 젤렌스키 우크라이나 대통령의 지난 2월 백악관 회담 같은 외교 참사가 일어나지는 않을 것으로 전망했다.그는 ""난 트럼프 대통령이 한국을 존중한다고 생각한다. 또 트럼프 대통령은 이재명 대통령이 대통령이 되기까지 걸어온 길을 알기 때문에 그가 믿을 만한 상대라는 것을 알고 있다""고 말했다.사일러 선임고문은 대북 정책 공조가 한미 정상회담의 성과가 될 수 있다고 관측했다.그는 한미 정상 모두 북한과 정상외교를 추진할 의향이 있다고 평가하고서는 ""난 트럼프 대통령이 북한과 어떤 상호작용을 신속하게 하려고 노력하는 데 있어서 이재명 대통령의 편을 드는 것을 편하게 여길 것이라 생각하고, 그게 이재명 대통령 관점에서는 성과일 것""이라고 말했다.다만 그는 트럼프 대통령이 대(對)중국 견제와 관련해 이 대통령으로부터 더 강경한 공개 입장 표명을 요구할 경우 갈등이 빚어질 수도 있다고 지적했다.bluekey@yna.co.kr제보는 카카오톡 okjebo  <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>  2025/08/19 00:31 송고 2025년08월19일 00시31분 송고"
연합뉴스,"트럼프 ""부패한 우편투표 폐지…선거구획정보다 더 큰 문제""(종합)","(워싱턴=연합뉴스) 박성민 특파원 = 도널드 트럼프 미국 대통령은 18일(현지시간) ""나는 우편투표를 폐지하기 위한 운동(movement)을 이끌 것""이라며 자신이 패배한 지난 2020년 대선에서의 '부정선거' 음모론을 재점화했다.트럼프 대통령은 이날 자신이 설립한 소셜미디어(SNS) 트루스소셜에 이같이 적으면서 ""우리는 민주당이 전례 없는 수준으로 부정을 저지르기 때문에 강력히 반대할 이 노력을 시작할 것""이라고 밝혔다.그는 이어 ""2026년 중간선거에 정직성을 가져오기 위한 행정명령에 서명할 것""이라고 덧붙였다.트럼프 대통령이 조 바이든 전 대통령에게 패한 2020년 대선에서 대규모 부정과 사기가 이뤄졌다고 주장한 건 처음이 아니다.하지만, 지난 15일 알래스카에서 열린 블라디미르 푸틴 러시아 대통령과의 미·러 정상회담 때 러시아의 선거 개입 논란이 있었던 지난 2020년 미국 대선에 대해 두 정상의 비판이 있었다는 점에서 이번 회담이 이를 거듭 주장하게 된 배경이 아니냐는 관측이 제기된다.트럼프 대통령은 푸틴 대통령과의 회담 직후 폭스뉴스와의 인터뷰에서 푸틴 대통령으로부터 '우편투표 제도 탓에 부정선거가 이뤄졌고, 그 때문에 당신이 패배했다'는 말을 들었다고 전한 바 있다.그는 ""우리는 현재 세계에서 우편 투표를 사용하는 유일한 국가""라며 ""다른 모든 국가는 대규모 투표 사기 발생 탓에 이를 포기했다""며 다소 사실과 거리가 있는 주장을 펴기도 했다.트럼프 대통령은 이날 오후 백악관에서 볼로디미르 젤렌스키 우크라이나 대통령과의 정상회담 자리에서도 취재진의 관련 질의에 ""우편투표는 부패했다""며 ""우편 투표를 폐지하기 위해 모든 가능한 일을 할 것이다. 우리나라 최고의 변호사들이 작성 중인 행정명령을 통해 (폐지를) 시작할 것""이라고 강조했다.그는 ""캘리포니아에서 일어난 일을 알고 있듯이 그곳은 너무 부패해서 일부 사람들은 5, 6, 7장의 투표용지를 배달받기도 한다""며 ""그래서 우편투표를 중단해야 하며, 공화당이 주도해야 한다""고 말했다.트럼프 대통령은 그러면서 ""선거구 획정을 해야 하는 어느 것보다 더 큰 것(문제)이다. 나를 믿으라""고 강조했다.아울러 트럼프 대통령은 트루스소셜 게시물에서 ""이 기회에 대단히 부정확하고 매우 비싸며 심각한 논란이 된 투표 기계를 폐지할 것""이라며 ""이 투표 기계는 정확하고 정교한 워터마크 종이보다 10배 비싸다. 워터마크 종이는 선거 직후 누가 이겼고 졌는지 더 빠르고, 의심을 남기지 않는다""고 적었다.특히 트럼프 대통령은 ""기억하라. 주(州)들은 단지 투표를 계산해 도표를 만드는 연방 정부의 에이전트에 불과하다""며 ""그들(주)은 미국 대통령으로 대표되는 연방 정부가 말하는 것을 따라야 한다""고 밝혔다.그러면서 ""민주당은 국경 개방, 남성의 여성 스포츠 참여, 트랜스젠더와 모두를 위한 워크(woke) 등 끔찍한 극좌 정책으로 인해 이 완전히 입증되지 않은 우편 투표 사기 없이는 사실상 당선될 수 없다""며 ""나와 공화당은 선거에 정직과 정의를 되찾기 위해 목숨을 걸고 싸울 것""이라고 강조했다.트럼프 대통령은 ""완전한 재앙인 투표 기계를 사용한 우편 투표 사기는 당장 중단돼야 한다""며 ""공정하고 정직한 선거, 강력하고 힘 있는 국경이 없다면 국가의 외형조차 없을 것이라는 걸 기억하라""고 덧붙였다.min22@yna.co.kr제보는 카카오톡 okjebo  <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>  2025/08/19 04:00 송고 2025년08월19일 04시00분 송고"
